year;month;AC;province;party;nElectoresProvince;nVotosCandidaturasProvince;nElectoresAC;nVotosCandidaturaAC;nVotosPartyProv;sumVotesEachPartyACTotal;sumVotesEachPartyACTotalDividedBynVotosCandidaturaAC;totalDepsProv;totalDepsAvailableInAC;nDepsPerProvPerYear;totalDepsPerPartyPerAC;totalDepsPerPartyPerACDividedByTotalDepsAvailablePerAC
2019;5;Castilla y Leon;NA;XAV;NA;NA;NA;1357813;NA;9447;NA;NA;81;NA;1;NA
2019;5;Aragon;NA;VOX;NA;NA;NA;662753;NA;40671;NA;NA;67;NA;3;NA
2019;5;Cantabria;NA;VOX;NA;NA;NA;322723;NA;16496;NA;NA;35;NA;2;NA
2019;5;Castilla y Leon;NA;VOX;NA;NA;NA;1357813;NA;75306;NA;NA;81;NA;1;NA
2019;5;Madrid;NA;VOX;NA;NA;NA;3222839;NA;287667;NA;NA;132;NA;12;NA
2019;5;Navarra;NA;VOX;NA;NA;NA;345462;NA;4401;NA;NA;50;NA;0;NA
2019;5;Asturias;NA;VOX;NA;NA;NA;525846;NA;34210;NA;NA;45;NA;2;NA
2019;4;Valencia;NA;VOX;NA;NA;NA;2638536;NA;281608;NA;NA;99;NA;10;NA
2019;5;Murcia;NA;VOX;NA;NA;NA;647913;NA;61591;NA;NA;45;NA;4;NA
2019;5;La Rioja;NA;VOX;NA;NA;NA;161046;NA;6277;NA;NA;33;NA;0;NA
2019;5;Illes Baleares;NA;VOX;NA;NA;NA;422599;NA;34668;NA;NA;59;NA;3;NA
2019;5;Extremadura;NA;VOX;NA;NA;NA;235283;NA;11012;NA;NA;29;NA;0;NA
2019;5;Canarias;NA;VOX;NA;NA;NA;881784;NA;22021;NA;NA;61;NA;0;NA
2019;5;Castilla-La Mancha;NA;VOX;NA;NA;NA;1069007;NA;75636;NA;NA;33;NA;0;NA
2019;5;Castilla y Leon;NA;UPL;NA;NA;NA;1357813;NA;27983;NA;NA;81;NA;1;NA
2019;5;Aragon;NA;PSOE;NA;NA;NA;662753;NA;206400;NA;NA;67;NA;24;NA
2019;5;Cantabria;NA;PSOE;NA;NA;NA;322723;NA;57383;NA;NA;35;NA;7;NA
2019;5;Castilla y Leon;NA;PSOE;NA;NA;NA;1357813;NA;478110;NA;NA;81;NA;35;NA
2019;5;Madrid;NA;PSOE;NA;NA;NA;3222839;NA;884218;NA;NA;132;NA;37;NA
2019;5;Asturias;NA;PSOE;NA;NA;NA;525846;NA;187462;NA;NA;45;NA;20;NA
2019;4;Valencia;NA;PSOE;NA;NA;NA;2638536;NA;643909;NA;NA;99;NA;27;NA
2019;5;Murcia;NA;PSOE;NA;NA;NA;647913;NA;211259;NA;NA;45;NA;17;NA
2019;5;La Rioja;NA;PSOE;NA;NA;NA;161046;NA;62925;NA;NA;33;NA;15;NA
2019;5;Illes Baleares;NA;PSOE;NA;NA;NA;422599;NA;116496;NA;NA;59;NA;19;NA
2019;5;Extremadura;NA;PSOE;NA;NA;NA;235283;NA;104370;NA;NA;29;NA;14;NA
2019;5;Canarias;NA;PSOE;NA;NA;NA;881784;NA;257642;NA;NA;61;NA;22;NA
2019;5;Castilla-La Mancha;NA;PSOE;NA;NA;NA;1069007;NA;475368;NA;NA;33;NA;19;NA
2019;5;Navarra;NA;PSN-PSOE;NA;NA;NA;345462;NA;71838;NA;NA;50;NA;11;NA
2019;5;Cantabria;NA;PRC;NA;NA;NA;322723;NA;122679;NA;NA;35;NA;14;NA
2019;5;Aragon;NA;PP;NA;NA;NA;662753;NA;139660;NA;NA;67;NA;16;NA
2019;5;Cantabria;NA;PP;NA;NA;NA;322723;NA;78347;NA;NA;35;NA;9;NA
2019;5;Castilla y Leon;NA;PP;NA;NA;NA;1357813;NA;432837;NA;NA;81;NA;29;NA
2019;5;Madrid;NA;PP;NA;NA;NA;3222839;NA;719852;NA;NA;132;NA;30;NA
2019;5;Asturias;NA;PP;NA;NA;NA;525846;NA;93147;NA;NA;45;NA;10;NA
2019;4;Valencia;NA;PP;NA;NA;NA;2638536;NA;508534;NA;NA;99;NA;19;NA
2019;5;Murcia;NA;PP;NA;NA;NA;647913;NA;210771;NA;NA;45;NA;16;NA
2019;5;La Rioja;NA;PP;NA;NA;NA;161046;NA;53770;NA;NA;33;NA;12;NA
2019;5;Illes Baleares;NA;PP;NA;NA;NA;422599;NA;94821;NA;NA;59;NA;16;NA
2019;5;Extremadura;NA;PP;NA;NA;NA;235283;NA;69906;NA;NA;29;NA;10;NA
2019;5;Canarias;NA;PP;NA;NA;NA;881784;NA;135573;NA;NA;61;NA;10;NA
2019;5;Castilla-La Mancha;NA;PP;NA;NA;NA;1069007;NA;307661;NA;NA;33;NA;10;NA
2019;5;Aragon;NA;Podemos;NA;NA;NA;662753;NA;54252;NA;NA;67;NA;5;NA
2019;5;Cantabria;NA;Podemos;NA;NA;NA;322723;NA;10224;NA;NA;35;NA;0;NA
2019;5;Castilla y Leon;NA;Podemos;NA;NA;NA;1357813;NA;68036;NA;NA;81;NA;1;NA
2019;5;Madrid;NA;Podemos;NA;NA;NA;3222839;NA;181231;NA;NA;132;NA;7;NA
2019;5;Navarra;NA;Podemos;NA;NA;NA;345462;NA;16518;NA;NA;50;NA;2;NA
2019;5;Asturias;NA;Podemos;NA;NA;NA;525846;NA;58674;NA;NA;45;NA;4;NA
2019;4;Valencia;NA;Podemos;NA;NA;NA;2638536;NA;215392;NA;NA;99;NA;8;NA
